fighter,5D,Ref,event_odds_url,event_ufcstats_url,event_id,event_name
Dominick Cruz,-185.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Urijah Faber,170.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Matt Wiman,-105.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Ryan Bader,-600.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Tito Ortiz,500.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Wanderlei Silva,-200.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Carlos Condit,101.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Takeya Mizugaki,285.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Andre Winner,135.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Anthony Njokuani,-145.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Brad Tavares,205.0,,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,http://www.ufcstats.com/event-details/83fd97284f4bb4a4,ufc-132-cruz-vs-faber-381,UFC 132: Cruz vs Faber
Rashad Evans,-375.0,,https://www.bestfightodds.com/events/ufc-133-evans-vs-ortiz-2-390,http://www.ufcstats.com/event-details/f1f9e48a0d150757,ufc-133-evans-vs-ortiz-2-390,UFC 133: Evans vs Ortiz 2
