fighter1,fighter2,weightclass,fighter1_odds,fighter2_odds,event_url,full_event_url,method,event,event_name,full_event_name
Ovince Saint Preux,Rafael Cavalcante,Light Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Joseph Benavidez,Zach Makovsky,Flyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Misha Cirkunov,Alex Nicholson,Light Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,SUB,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Mike Pyle,Sean Spencer,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Joshua Burkman,KJ Noons,Lightweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Derrick Lewis,Damian Grabowski,Heavyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Ray Borg,Justin Scoggins,Flyweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Noad Lahat,Diego Rivas,Featherweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,KO/TKO,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Mickey Gall,Mike Jackson,Welterweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,SUB,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Artem Lobov,Alex White,Featherweight Bout,,,fight-night-hendricks-vs-thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson,DEC,fight-night-hendricks-vs-thompson,Hendricks vs Thompson,fight night hendricks vs thompson Hendricks vs Thompson
Justin Gaethje,James Vick,Lightweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Michael Johnson,Andre Fili,Featherweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Cortney Casey,Angela Hill,Women's Strawweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,DEC,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
Jake Ellenberger,Bryan Barberena,Welterweight Bout,,,fight-night-lincoln-2018,https://www.ufc.com/event/fight-night-lincoln-2018,KO/TKO,fight-night-lincoln-2018,Gaethje vs Vick,fight night lincoln 2018 Gaethje vs Vick
